rank,journal_name,ft50_year
1,Academy of Management Annals,2026
2,Academy of Management Journal,2026
3,Academy of Management Review,2026
4,Accounting Review,2026
5,"Accounting, Organizations and Society",2026
6,Administrative Science Quarterly,2026
7,American Economic Review,2026
8,American Sociological Review,2026
9,Contemporary Accounting Research,2026
10,Econometrica,2026
11,Entrepreneurship Theory and Practice,2026
12,Harvard Business Review,2026
13,Human Resource Management,2026
14,Information Systems Research,2026
15,Journal of Accounting and Economics,2026
16,Journal of Accounting Research,2026
17,Journal of Applied Psychology,2026
18,Journal of Business Venturing,2026
19,Journal of Consumer Psychology,2026
20,Journal of Consumer Research,2026
21,Journal of Finance,2026
22,Journal of Financial and Quantitative Analysis,2026
23,Journal of Financial Economics,2026
24,Journal of International Business Studies,2026
25,Journal of Management,2026
26,Journal of Management Information Systems,2026
27,Journal of Management Studies,2026
28,Journal of Marketing,2026
29,Journal of Marketing Research,2026
30,Journal of Operations Management,2026
31,Journal of Political Economy,2026
32,Journal of the Academy of Marketing Science,2026
33,Management Science,2026
34,Manufacturing & Service Operations Management,2026
35,Marketing Science,2026
36,MIS Quarterly,2026
37,MIT Sloan Management Review,2026
38,Operations Research,2026
39,Organization Science,2026
40,Organizational Behavior and Human Decision Processes,2026
41,Production and Operations Management,2026
42,Psychological Science,2026
43,Quarterly Journal of Economics,2026
44,Research Policy,2026
45,Review of Accounting Studies,2026
46,Review of Economic Studies,2026
47,Review of Finance,2026
48,Review of Financial Studies,2026
49,Strategic Entrepreneurship Journal,2026
50,Strategic Management Journal,2026
