rank,journals,score,items_listed,simple_if,recursive_if,discounted_if,recursive_discounted_if,h_index,euclid
1,"Econometrica, Econometric Society",1.53,4236,2,1,2,1,4,1
2,"American Economic Review, American Economic Association",3.32,10638,8,3,11,8,1,2
3,"The Quarterly Journal of Economics, President and Fellows of Harvard College",3.41,2698,1,8,10,7,2,4
4,"Journal of Financial Economics, Elsevier",4.28,3901,4,12,1,10,6,7
5,"Journal of Economic Literature, American Economic Association",4.99,1249,3,6,3,4,14,10
6,"Journal of Economic Growth, Springer",6.7,414,5,2,5,14,71,31
7,"The Review of Financial Studies, Society for Financial Studies",7.06,2695,7,13,4,5,7,17
8,"Journal of Economic Perspectives, American Economic Association",7.3,2074,6,4,7,11,9,13
9,"Journal of Political Economy, University of Chicago Press",7.37,3696,10,10,17,15,5,3
10,"American Economic Journal: Macroeconomics, American Economic Association",8.4,674,16,9,8,2,61,52
11,"Journal of Finance, American Finance Association",8.63,4901,9,21,13,17,3,9
12,"American Economic Journal: Applied Economics, American Economic Association",9.88,769,14,16,6,3,53,68
13,"The Review of Economic Studies, Review of Economic Studies Ltd",10.28,3057,12,14,15,13,8,6
14,"Journal of Monetary Economics, Elsevier",13.11,4154,15,11,26,20,11,8
15,"Journal of Labor Economics, University of Chicago Press",13.93,1443,19,5,20,12,31,33
16,"Journal of Econometrics, Elsevier",14.31,5637,20,38,21,33,12,5
17,"Brookings Papers on Economic Activity, Economic Studies Program, The Brookings Institution",15.35,981,11,7,24,19,34,24
18,"Annual Review of Economics, Annual Reviews",16.43,443,23,24,9,6,100,101
19,"The Review of Economics and Statistics, MIT Press",17.72,4749,21,41,25,25,10,11
20,"Journal of the European Economic Association, European Economic Association",19.28,2025,17,17,19,16,42,18
21,"RAND Journal of Economics, RAND Corporation",20.45,2323,18,15,31,23,23,19
22,"The Economic Journal, Royal Economic Society",20.76,4795,26,33,34,30,13,12
23,"American Economic Journal: Economic Policy, American Economic Association",22.25,849,34,20,16,9,73,105
24,"Journal of Accounting and Economics, Elsevier",22.65,1447,13,43,12,31,27,63
25,"Journal of International Economics, Elsevier",23.61,3826,30,30,38,34,15,15
26,"Journal of Public Economics, Elsevier",26.28,4988,33,31,37,27,17,23
27,"Strategic Management Journal, Wiley Blackwell",27.41,2990,22,109,14,66,19,36
28,"Journal of Business & Economic Statistics, Taylor & Francis Journals",27.52,2619,31,37,35,39,29,14
29,"Economic Policy, CEPR, CESifo, Sciences Po;CES;MSH",28.45,508,24,18,23,22,82,71
30,"Journal of Applied Econometrics, John Wiley & Sons, Ltd.",28.7,2162,27,32,27,38,36,20
31,"Journal of Development Economics, Elsevier",33.27,4404,38,51,41,48,18,29
32,"Journal of Economic Theory, Elsevier",34.71,5311,57,26,94,42,28,21
33,"Journal of Financial Intermediation, Elsevier",35.84,820,29,28,29,28,79,67
34,"Journal of Money, Credit and Banking, Blackwell Publishing",36.64,4234,45,35,78,43,24,28
35,"Journal of Human Resources, University of Wisconsin Press",37.78,2173,42,27,57,32,48,35
36,"European Economic Review, Elsevier",38.73,5415,58,42,83,58,22,25
37,"Review of Economic Dynamics, Elsevier for the Society for Economic Dynamics",39.24,1272,50,25,56,21,87,59
38,"Experimental Economics, Springer;Economic Science Association",40.13,872,41,34,43,36,124,27
39,"Journal of Business Venturing, Elsevier",40.22,1511,25,118,18,76,41,107
40,"International Economic Review, Department of Economics, University of Pennsylvania and Osaka University Institute of Social and Economic Research Association",41.41,3110,53,29,99,45,47,26
41,"Research Policy, Elsevier",41.5,4600,39,127,33,109,21,40
42,"Proceedings, Federal Reserve Bank of Cleveland",42.05,198,28,19,62,37,314,104
43,"Journal of Banking & Finance, Elsevier",44.61,6577,52,104,49,94,20,39
44,"American Economic Review: Insights, American Economic Association",44.67,236,86,56,22,18,360,290
45,"Journal of International Business Studies, Palgrave Macmillan;Academy of International Business",45.22,2696,32,154,30,99,30,53
46,"Management Science, INFORMS",45.95,10040,88,184,82,124,16,30
47,"Journal of Law and Economics, University of Chicago Press",48.18,1538,43,36,76,50,74,37
48,"Organization Science, INFORMS",49.66,2240,36,193,32,96,38,49
49,"Journal of Economic Dynamics and Control, Elsevier",50.76,4391,101,80,142,90,58,16
50,"Journal of Accounting Research, John Wiley & Sons, Ltd.",51.69,2109,40,89,42,61,37,78
51,"The Journal of Business, University of Chicago Press",52.27,1187,51,40,105,78,46,38
52,"The World Bank Economic Review, World Bank",53.84,1025,37,44,63,60,72,65
53,"Proceedings, Board of Governors of the Federal Reserve System (U.S.)",54.36,194,48,23,104,40,419,99
54,"Journal of Environmental Economics and Management, Elsevier",56.46,2819,46,88,50,83,39,64
55,"Journal of Financial and Quantitative Analysis, Cambridge University Press",56.82,3273,63,81,68,68,33,56
56,"Journal of Urban Economics, Elsevier",57.07,2506,55,48,73,56,55,61
57,"Oxford Bulletin of Economics and Statistics, Department of Economics, University of Oxford",57.24,2064,61,84,91,110,84,22
58,"Energy Economics, Elsevier",58.36,8214,60,288,40,185,25,76
59,"Journal of Economic Surveys, Wiley Blackwell",58.6,1404,47,73,46,75,66,58
60,"International Journal of Central Banking, International Journal of Central Banking",59.14,742,62,47,58,35,133,91
61,"Journal of Risk and Uncertainty, Springer",61.02,993,49,57,75,64,129,42
62,"IMF Economic Review, Palgrave Macmillan;International Monetary Fund",62.19,1514,54,64,108,70,64,43
63,"Journal of Corporate Finance, Elsevier",62.4,2592,64,116,28,82,56,150
64,"Annual Review of Financial Economics, Annual Reviews",62.95,313,73,68,39,29,266,267
65,"Quantitative Economics, Econometric Society",63.44,501,109,46,67,24,267,232
66,"Quarterly Review, Federal Reserve Bank of Minneapolis",63.87,277,74,22,199,53,325,109
67,"The Econometrics Journal, Royal Economic Society",64.49,702,56,60,47,51,150,90
68,"The World Bank Research Observer, World Bank",64.54,408,35,72,44,73,146,132
69,"Journal of Health Economics, Elsevier",64.82,2683,72,58,88,52,57,75
70,"Review of Finance, European Finance Association",67.5,1105,70,77,45,44,104,138
71,"Journal of International Money and Finance, Elsevier",68.91,3423,75,90,90,102,45,51
72,"Labour Economics, Elsevier",71.87,2242,96,53,98,49,83,86
