Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;35,995;Q1;336;48;144;3350;2215;144;13,64;69,79;25,18;46;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;25,102;Q1;399;111;328;8128;4223;326;11,95;73,23;24,75;78;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;22,836;Q1;386;95;227;5424;2101;220;9,85;57,09;16,64;42;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;21,091;Q1;242;73;263;3083;2055;257;6,70;42,23;13,55;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
5;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;19,166;Q1;184;104;274;6452;2206;274;8,50;62,04;22,13;79;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;17,669;Q1;355;111;499;6352;6906;494;11,31;57,23;17,33;55;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;17,087;Q1;235;94;239;5929;1886;232;6,22;63,07;19,70;71;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
8;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;16,546;Q1;268;87;407;5617;3606;406;6,45;64,56;22,08;43;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";"American Economic Association";No;No;13,528;Q1;96;50;154;2921;1109;154;5,59;58,42;15,15;36;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
10;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;13,394;Q1;309;50;175;3723;2933;153;15,86;74,46;37,06;4;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
