Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21206;"Nature";journal;"14764687, 00280836";"Nature Research";No;No;15,993;Q1;1495;2178;8538;48138;121867;4031;14,48;22,10;33,86;569;United Kingdom;Western Europe;"Nature Research";"1869-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
2;23571;"Science";journal;"10959203, 00368075";"American Association for the Advancement of Science";Yes;No;12,556;Q1;1433;3207;8812;41629;110949;4490;11,84;12,98;32,63;419;United States;Northern America;"American Association for the Advancement of Science";"1880-1881, 1883-2026";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
3;21100457028;"Science Advances";journal;"23752548";"American Association for the Advancement of Science";Yes;No;5,928;Q1;325;2125;2885;107675;44108;2861;13,58;50,67;32,05;229;United States;Northern America;"American Association for the Advancement of Science";"2015-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
4;19700182758;"Nature Communications";journal;"20411723";"Nature Research";Yes;No;5,559;-;634;6060;15002;330659;208312;14828;13,35;54,56;34,82;676;United Kingdom;Western Europe;"Nature Research";"2010-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
5;21121;"Proceedings of the National Academy of Sciences of the United States of America";journal;"10916490, 00278424";"National Academy of Sciences";Yes;No;5,011;Q1;929;4220;11290;205097;110720;10164;9,31;48,60;34,61;600;United States;Northern America;"National Academy of Sciences";"1917, 1933, 1945-1952, 1954-1955, 1960-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
6;21100409368;"National Science Review";journal;"20955138, 2053714X";"Oxford University Press";Yes;No;2,433;Q1;142;241;447;9008;3171;299;6,83;37,38;31,14;14;United Kingdom;Western Europe;"Oxford University Press";"2014-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
7;21100405003;"Science Bulletin";journal;"20959273, 20959281";"Elsevier B.V.";No;No;1,983;Q1;177;345;833;12070;5483;616;7,03;34,99;32,13;16;Netherlands;Western Europe;"Elsevier B.V.";"2015-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
8;21100907125;"iScience";journal;"25890042";"Elsevier Inc.";Yes;No;1,805;Q1;113;1081;723;65131;3691;716;5,11;60,25;35,93;42;United States;Northern America;"Elsevier Inc.";"2018-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
9;21100943285;"Research";journal;"26395274, 20965168";"American Association for the Advancement of Science";Yes;No;1,800;Q1;76;142;129;9919;856;128;6,64;69,85;30,17;3;United States;Northern America;"American Association for the Advancement of Science";"2018-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
10;19700168304;"Journal of Advanced Research";journal;"20901224, 20901232";"Elsevier B.V.";Yes;No;1,659;Q1;122;141;222;7272;2290;215;10,53;51,57;34,39;7;Netherlands;Western Europe;"Elsevier B.V.";"2010-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
11;21100200805;"Scientific Reports";journal;"20452322";"Nature Research";Yes;No;1,240;Q1;382;21538;61225;1027307;285215;61221;4,17;47,70;37,65;1739;United Kingdom;Western Europe;"Nature Research";"2011-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
12;23100;"Proceedings of the Japan Academy Series B: Physical and Biological Sciences";journal;"13492896, 03862208";"Japan Academy";Yes;Yes;1,211;Q1;76;36;115;2908;622;115;3,63;80,78;20,41;1;Japan;Asiatic Region;"Japan Academy";"1977-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Multidisciplinary (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Medicine; Multidisciplinary; Physics and Astronomy"
13;21100941752;"Advanced Theory and Simulations";journal;"25130390";"Wiley-VCH Verlag";No;No;1,068;Q1;53;138;264;8278;931;261;3,53;59,99;24,12;3;Germany;Western Europe;"Wiley-VCH Verlag";"2018-2026";"Modeling and Simulation (Q1); Multidisciplinary (Q1); Numerical Analysis (Q2); Statistics and Probability (Q2)";"Mathematics; Multidisciplinary"
14;10600153309;"PLOS ONE";journal;"19326203";"Public Library of Science";Yes;No;0,990;Q1;500;15794;53928;753510;189635;53916;3,11;47,71;41,58;2683;United States;Northern America;"Public Library of Science";"2006-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
15;22367;"Progress in Natural Science: Materials International";journal;"10020071, 17455391";"Elsevier B.V.";Yes;No;0,864;Q1;95;115;304;5629;1393;302;3,73;48,95;32,80;0;Netherlands;Western Europe;"Elsevier B.V.";"1996-2026";"Materials Science (miscellaneous) (Q1); Multidisciplinary (Q1)";"Materials Science; Multidisciplinary"
16;4400151506;"Eurasip Journal on Bioinformatics and Systems Biology";journal;"16874153, 16874145";"SpringerOpen";Yes;No;0,855;Q1;24;0;6;0;17;6;0,00;0,00;0,00;0;Germany;Western Europe;"SpringerOpen";"2006-2017";"Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Multidisciplinary (Q1); Signal Processing (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computational Mathematics (Q2); Medicine (miscellaneous) (Q2); Statistics and Probability (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics; Medicine; Multidisciplinary"
17;21100446014;"Royal Society Open Science";journal;"20545703";"The Royal Society";Yes;No;0,840;Q1;103;659;2372;36013;7539;2358;2,90;54,65;33,97;62;United Kingdom;Western Europe;"The Royal Society";"2014-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
18;12337;"International Journal of Bifurcation and Chaos";journal;"17936551, 02181274";"World Scientific";No;No;0,761;Q1;124;309;751;11146;2239;751;2,93;36,07;30,76;0;Singapore;Asiatic Region;"World Scientific";"1991, 1994, 1996-2026";"Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2)";"Engineering; Mathematics; Multidisciplinary"
19;21101017598;"Emerging Science Journal";journal;"26109182";"Ital Publication";Yes;No;0,760;Q1;43;65;109;2525;541;109;4,93;38,85;39,86;1;Italy;Western Europe;"Ital Publication";"2017-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
20;21100247071;"Science and Technology Studies";journal;"22434690";"Finnish Society for Science and Technology Studies";Yes;Yes;0,675;Q1;27;20;58;1142;105;55;2,12;57,10;45,95;2;Finland;Western Europe;"Finnish Society for Science and Technology Studies";"2012-2025";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
21;28472;"Fractals";journal;"17936543, 0218348X";"World Scientific";No;No;0,654;Q1;78;197;355;6680;1285;354;3,53;33,91;31,01;0;Singapore;Asiatic Region;"World Scientific";"1993-2026";"Multidisciplinary (Q1); Applied Mathematics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2)";"Mathematics; Multidisciplinary"
22;19700200807;"Research in Science and Technological Education";journal;"14701138, 02635143";"Taylor and Francis Ltd.";No;No;0,626;Q1;46;29;78;1576;145;78;1,44;54,34;57,14;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2026";"Multidisciplinary (Q1); Education (Q2)";"Multidisciplinary; Social Sciences"
23;21100872043;"Epidemiologia e Servicos de Saude";journal;"22379622, 16794974";"Ministry of Health";Yes;Yes;0,620;-;34;128;227;3075;483;220;1,56;24,02;67,27;0;Brazil;Latin America;"Ministry of Health";"2016-2026";"Medicine (miscellaneous) (Q2)";"Medicine"
24;86891;"Journal of King Saud University - Science";journal;"10183647";"Scientific Scholar LLC";Yes;No;0,574;Q1;85;496;343;16629;1377;342;3,84;33,53;33,94;7;Netherlands;Western Europe;"Scientific Scholar LLC";"1994, 2009-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
25;21100938000;"Facets";journal;"23711671";"Canadian Science Publishing";Yes;No;0,510;Q1;35;60;92;3919;196;92;2,16;65,32;53,74;0;Canada;Northern America;"Canadian Science Publishing";"2017-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
26;19400157273;"European Journal of Science and Theology";journal;"18410464, 18428517";"ACAD Organisation";Yes;No;0,493;Q1;25;99;336;2427;216;328;0,77;24,52;56,64;0;Romania;Eastern Europe;"ACAD Organisation";"2008-2025";"History and Philosophy of Science (Q1); Multidisciplinary (Q1); Religious Studies (Q1); Engineering (miscellaneous) (Q2)";"Arts and Humanities; Engineering; Multidisciplinary"
27;27733;"Latin American Research Review";journal;"00238791, 15424278";"Cambridge University Press";Yes;Yes;0,489;Q1;62;45;146;2174;152;138;0,88;48,31;31,43;11;United States;Northern America;"Cambridge University Press";"1965-2026";"Anthropology (Q1); Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Literature and Literary Theory (Q1); Multidisciplinary (Q1); Political Science and International Relations (Q1); Arts and Humanities (miscellaneous) (Q2); Development (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Multidisciplinary; Social Sciences"
28;21100411756;"Heliyon";journal;"24058440";"Elsevier Ltd";Yes;No;0,455;Q1;145;2674;2682;130099;7797;2681;2,91;48,65;36,03;221;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
29;25823;"Complexity";journal;"10762787, 10990526";"John Wiley and Sons Inc";Yes;No;0,447;Q1;93;1355;1736;53956;4925;1682;2,80;39,82;33,34;16;United States;Northern America;"John Wiley and Sons Inc";"1995-2026";"Multidisciplinary (Q1); Computer Science (miscellaneous) (Q2)";"Computer Science; Multidisciplinary"
