source,file_name,sheet_name,header_row_index,delimiter,encoding,row_count,column_list,identifier_status,notes
SCIMAGO,scimago\scimago_arts\scimagojr 2019  Subject Area - Arts and Humanities.csv,,0,;,utf-8,5025,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2019)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,scimago\scimago_arts\scimagojr 2020  Subject Area - Arts and Humanities.csv,,0,;,utf-8,5107,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2020)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,scimago\scimago_arts\scimagojr 2021  Subject Area - Arts and Humanities.csv,,0,;,utf-8,5132,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2021)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,scimago\scimago_arts\scimagojr 2022  Subject Area - Arts and Humanities.csv,,0,;,utf-8,5185,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2022)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,scimago\scimago_arts\scimagojr 2023  Subject Area - Arts and Humanities.csv,,0,;,utf-8,5238,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2023)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,scimago\scimago_arts\scimagojr 2024  Subject Area - Arts and Humanities.csv,,0,;,utf-8,5237,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2024)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,scimago\scimago_arts\scimagojr 2025  Subject Area - Arts and Humanities.csv,,0,;,utf-8,5229,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2025)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_business\scimagojr 2019  Subject Area - Business, Management and Accounting.csv",,0,;,utf-8,2003,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2019)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_business\scimagojr 2020  Subject Area - Business, Management and Accounting.csv",,0,;,utf-8,2004,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2020)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
SCIMAGO,"scimago\scimago_business\scimagojr 2021  Subject Area - Business, Management and Accounting.csv",,0,;,utf-8,1810,"[""Rank"", ""Sourceid"", ""Title"", ""Type"", ""Issn"", ""Publisher"", ""Open Access"", ""Open Access Diamond"", ""SJR"", ""SJR Best Quartile"", ""H index"", ""Total Docs. (2021)"", ""Total Docs. (3years)"", ""Total Refs."", ""Total Citations (3years)"", ""Citable Docs. (3years)"", ""Citations / Doc. (2years)"", ""Ref. / Doc."", ""%Female"", ""Overton"", ""Country"", ""Region"", ""Publisher.1"", ""Coverage"", ""Categories"", ""Areas""]",ISSN + SCIMAGO_SOURCE_ID,SCImago CSV; semicolon-delimited. Source folder is preserved as part of the raw-data layout.
