journal_id,canonical_title,missing_year,previous_year,next_year
660,Psyche (discontinued),2020,2019,2021
1367,Historisches Jahrbuch,2020,2019,2021
1701,Musik und Kirche,2024,2023,2025
1752,Triquarterly,2023,2022,2024
1804,Film Studies,2021,2020,2022
1886,Journal of Legal Education,2023,2022,2024
1986,Francia. Forschungen zur Westeuropaischen Geschichte,2023,2022,2024
2052,Thomas Wolfe Review,2020,2019,2021
2096,Technical Textiles International,2023,2022,2024
2174,Advances in Medical Sociology,2021,2020,2022
2177,Research in Rural Sociology and Development,2024,2023,2025
2249,Textiles Eastern Europe,2020,2019,2021
2435,Antigonish Review,2021,2020,2022
2440,Cineforum,2024,2023,2025
2505,International Electronic Journal of Mathematics Education,2020,2019,2021
2531,Research in the Sociology of Health Care,2021,2020,2022
2622,Relations Industrielles,2021,2020,2022
2695,Studies in Symbolic Interaction,2021,2020,2022
2918,Water History,2024,2023,2025
2985,Journal of Media Economics,2021,2020,2022
3140,Ars Orientalis,2021,2020,2022
3230,Journal for the Liberal Arts and Sciences,2022,2021,2023
3245,Journal of the American Musical Instrument Society,2022,2021,2023
3329,Red Cedar Review,2020,2019,2021
3760,Tyche,2022,2021,2023
3798,Platform,2021,2020,2022
3967,Asia Pacific Conference on Postgraduate Research in Microelectronics and Electronics,2022,2021,2023
4093,IEEE International Conference on Industrial Engineering and Engineering Management,2021,2020,2022
4093,IEEE International Conference on Industrial Engineering and Engineering Management,2023,2022,2024
4112,"IEEE Vehicular Networking Conference, VNC",2022,2021,2023
4270,German Monitor,2022,2021,2023
4409,Foro Hispanico,2021,2020,2022
4456,Zbornik za Umetnostno Zgodovino,2020,2019,2021
4484,"East Asian Science, Technology, and Medicine",2021,2020,2022
4580,Proceedings of the International Conference on Dublin Core and Metadata Applications,2021,2020,2022
4647,Jahrbuch fur Regionalgeschichte,2022,2021,2023
4674,Computational Linguistics in the Netherlands Journal,2023,2022,2024
4772,Fennoscandia Archaeologica,2022,2021,2023
4837,Technische Berichte des Hasso-Plattner-Instituts fur Softwaresystemtechnik an der Universitat Potsdam,2020,2019,2021
4875,"Proceedings of International Conference on Service Science, ICSS",2023,2022,2024
4896,Langage et l'Homme,2024,2023,2025
4929,Advanced Series in Management,2024,2023,2025
4932,Advances in Business and Management Forecasting,2021,2020,2022
4972,Internationale Kirchliche Zeitschrift,2024,2023,2025
4993,Applications of Management Science,2024,2023,2025
5003,Review of Marketing Research,2021,2020,2022
5003,Review of Marketing Research,2024,2023,2025
5022,Advances in Motivation and Achievement,2024,2023,2025
5062,"International Conference on the European Energy Market, EEM",2021,2020,2022
5100,"European Conference on Information Warfare and Security, ECCWS",2021,2020,2022
5131,Advances in Accounting Education: Teaching and Curriculum Innovations,2021,2020,2022
5139,Acta ad Archaeologiam et Artium Historiam Pertinentia,2022,2021,2023
5140,Studies in Managerial and Financial Accounting,2021,2020,2022
5140,Studies in Managerial and Financial Accounting,2024,2023,2025
5141,International Symposia in Economic Theory and Econometrics,2024,2023,2025
5143,Research on Professional Responsibility and Ethics in Accounting,2021,2020,2022
5143,Research on Professional Responsibility and Ethics in Accounting,2024,2023,2025
5145,"Critical Studies on Corporate Responsibility, Governance and Sustainability",2024,2023,2025
5200,Freiburger Zeitschrift fur Philosophie und Theologie,2022,2021,2023
5247,Advances in Knowledge Organization,2021,2020,2022
5247,Advances in Knowledge Organization,2023,2022,2024
5283,Proceedings of the International Conference on Speech Prosody,2021,2020,2022
5283,Proceedings of the International Conference on Speech Prosody,2023,2022,2024
5323,Yearbook of International Humanitarian Law,2023,2022,2024
5335,"Proceedings of the International Conference of DAAAM Baltic ""Industrial Engineering""",2020,2019,2021
5384,GL-Conference Series: Conference Proceedings,2021,2020,2022
5441,Geneva Reports on the World Economy,2023,2022,2024
5550,Publications on Ocean Development,2024,2023,2025
5556,International Humanitarian Law Series,2022,2021,2023
5562,Jewish and Christian Perspectives Series,2022,2021,2023
5569,Nijhoff Law Specials,2022,2021,2023
5577,Texts and Editions for New Testament Study,2021,2020,2022
5589,Probleme der Agyptologie,2021,2020,2022
5594,IJS Studies in Judaica,2021,2020,2022
5600,Studies in Global Social History,2021,2020,2022
5601,Global Pentecostal and Charismatic Studies,2022,2021,2023
5604,Texts and Studies on the Qur'an,2022,2021,2023
5608,"Literacy Research, Practice and Evaluation",2021,2020,2022
5612,Mittellateinische Studien und Texte,2021,2020,2022
5613,Human-Animal Studies,2021,2020,2022
5613,Human-Animal Studies,2024,2023,2025
5617,Impact of Empire,2022,2021,2023
5620,Medieval Law and Its Practice,2021,2020,2022
5628,Library of the Written Word,2020,2019,2021
5630,China Studies,2021,2020,2022
5631,Brill's Studies in Indo-European Languages and Linguistics,2021,2020,2022
5633,Studies in the History of Christian Traditions,2021,2020,2022
5634,Afrika-Studiecentrum Series,2021,2020,2022
5635,Sinica Leidensia,2022,2021,2023
5636,Linguistic Biblical Studies,2022,2021,2023
5637,"Handbook of Oriental Studies. Section 4, China",2021,2020,2022
5644,"Monies, Markets, and Finance in East Asia 1600-1900",2021,2020,2022
5651,Library of Economic History,2023,2022,2024
5660,Erik Castren Institute Monographs on International Law and Human Rights,2023,2022,2024
5662,Women and Gender in China Studies,2020,2019,2021
5669,Aristoteles Semitico-Latinus,2021,2020,2022
5669,Aristoteles Semitico-Latinus,2024,2023,2025
5679,Balkan Studies Library,2022,2021,2023
5685,Bible in Ancient Christianity,2021,2020,2022
5712,Contemporary Issues in Entrepreneurship Research,2021,2020,2022
5718,Studia Semitica Neerlandica,2021,2020,2022
5732,Intersections,2024,2023,2025
5740,Studies of Religion in Africa,2021,2020,2022
5740,Studies of Religion in Africa,2023,2022,2024
5743,Early Americas: History and Culture,2021,2020,2022
5748,Brill's Japanese Studies Library,2022,2021,2023
5751,"Handbook of Oriental Studies. Section 2, South Asia",2022,2021,2023
5755,Islamic Manuscripts and Books,2021,2020,2022
5756,"Studies in Platonism, Neoplatonism, and the Platonic Tradition",2023,2022,2024
5761,Studies in Theology and Religion,2021,2020,2022
5762,Rulers and Elites,2021,2020,2022
5773,Cuneiform Monographs,2021,2020,2022
5775,Egodocuments and History Series,2021,2020,2022
5777,Brill's Korean Studies Library,2021,2020,2022
5779,Leiden Series in Comparative Historiography,2021,2020,2022
5783,Empirical Approaches to Linguistic Theory,2022,2021,2023
5787,Japanese Visual Culture,2021,2020,2022
5799,Studies in Space Law,2022,2021,2023
5801,Studies in the History of Chinese Texts,2022,2021,2023
5835,Central and Eastern Europe,2023,2022,2024
5920,Chinese and Comparative Law Series,2021,2020,2022
5969,Texts and Studies in Eastern Christianity,2022,2021,2023
6026,"Proceedings of the IEEE National Aerospace Electronics Conference, NAECON",2022,2021,2023
6031,Studies in Territorial and Cultural Diversity Governance,2022,2021,2023
6076,Commentaria,2023,2022,2024
6093,Advances in Race and Ethnicity in Education,2021,2020,2022
6093,Advances in Race and Ethnicity in Education,2024,2023,2025
6095,International Straits of the World,2023,2022,2024
6109,Compendia Rerum Ludaicarum ad Novum Testamentum,2022,2021,2023
6496,Brill's Companions to European History,2021,2020,2022
6789,Annali di Studi Religiosi,2022,2021,2023
6882,"International Conference on Virtual Rehabilitation, ICVR",2023,2022,2024
7017,SESAR Innovation Days,2022,2021,2023
7172,Studies in the Development of Accounting Thought,2021,2020,2022
7172,Studies in the Development of Accounting Thought,2024,2023,2025
7317,REHABEND,2021,2020,2022
7317,REHABEND,2023,2022,2024
7720,Digital Icons,2022,2021,2023
7751,Revista del Ministerio de Empleo y Seguridad Social,2021,2020,2022
8043,Linguistic Approaches to Literature,2022,2021,2023
