source_code,dataset_id,raw_rows,normalized_records,distinct_source_rows,ingestion_rejections,expected_normalized_count,actual_normalized_count,difference,one_to_many,status
SCIMAGO,5,5025,5025,5025,0,5025,5025,0,False,PASS
SCIMAGO,6,5107,5107,5107,0,5107,5107,0,False,PASS
SCIMAGO,7,5132,5132,5132,0,5132,5132,0,False,PASS
SCIMAGO,8,5185,5185,5185,0,5185,5185,0,False,PASS
SCIMAGO,9,5238,5238,5238,0,5238,5238,0,False,PASS
SCIMAGO,10,5237,5237,5237,0,5237,5237,0,False,PASS
SCIMAGO,11,5229,5229,5229,0,5229,5229,0,False,PASS
SCIMAGO,12,2003,2003,2003,0,2003,2003,0,False,PASS
SCIMAGO,13,2004,2004,2004,0,2004,2004,0,False,PASS
SCIMAGO,14,1810,1810,1810,0,1810,1810,0,False,PASS
SCIMAGO,15,1813,1813,1813,0,1813,1813,0,False,PASS
SCIMAGO,16,1799,1799,1799,0,1799,1799,0,False,PASS
SCIMAGO,17,1783,1783,1783,0,1783,1783,0,False,PASS
SCIMAGO,18,1804,1804,1804,0,1804,1804,0,False,PASS
SCIMAGO,19,803,803,803,0,803,803,0,False,PASS
SCIMAGO,20,1154,1154,1154,0,1154,1154,0,False,PASS
SCIMAGO,21,554,554,554,0,554,554,0,False,PASS
SCIMAGO,22,567,567,567,0,567,567,0,False,PASS
SCIMAGO,23,582,582,582,0,582,582,0,False,PASS
SCIMAGO,24,608,608,608,0,608,608,0,False,PASS
SCIMAGO,25,611,611,611,0,611,611,0,False,PASS
SCIMAGO,26,1387,1387,1387,0,1387,1387,0,False,PASS
SCIMAGO,27,1398,1398,1398,0,1398,1398,0,False,PASS
SCIMAGO,28,1380,1380,1380,0,1380,1380,0,False,PASS
SCIMAGO,29,1394,1394,1394,0,1394,1394,0,False,PASS
SCIMAGO,30,1394,1394,1394,0,1394,1394,0,False,PASS
SCIMAGO,31,1380,1380,1380,0,1380,1380,0,False,PASS
SCIMAGO,32,1383,1383,1383,0,1383,1383,0,False,PASS
SCIMAGO,33,197,197,197,0,197,197,0,False,PASS
SCIMAGO,34,201,201,201,0,201,201,0,False,PASS
SCIMAGO,35,220,220,220,0,220,220,0,False,PASS
SCIMAGO,36,226,226,226,0,226,226,0,False,PASS
SCIMAGO,37,232,232,232,0,232,232,0,False,PASS
SCIMAGO,38,234,234,234,0,234,234,0,False,PASS
SCIMAGO,39,233,233,233,0,233,233,0,False,PASS
SCIMAGO,40,1474,1474,1474,0,1474,1474,0,False,PASS
SCIMAGO,41,1491,1491,1491,0,1491,1491,0,False,PASS
SCIMAGO,42,1459,1459,1459,0,1459,1459,0,False,PASS
SCIMAGO,43,1457,1457,1457,0,1457,1457,0,False,PASS
SCIMAGO,44,1455,1455,1455,0,1455,1455,0,False,PASS
SCIMAGO,45,1456,1456,1456,0,1456,1456,0,False,PASS
SCIMAGO,46,1448,1448,1448,0,1448,1448,0,False,PASS
SCIMAGO,47,9177,9177,9177,0,9177,9177,0,False,PASS
SCIMAGO,48,9473,9473,9473,0,9473,9473,0,False,PASS
SCIMAGO,49,8945,8945,8945,0,8945,8945,0,False,PASS
SCIMAGO,50,9040,9040,9040,0,9040,9040,0,False,PASS
SCIMAGO,51,9109,9109,9109,0,9109,9109,0,False,PASS
SCIMAGO,52,9097,9097,9097,0,9097,9097,0,False,PASS
SCIMAGO,53,9103,9103,9103,0,9103,9103,0,False,PASS
ABDC,54,16214,16214,16214,0,16214,16214,0,False,PASS
ABS,55,1635,4749,1635,0,1635,1635,0,True,PASS
REPEC,56,3459,3459,3459,0,3459,3459,0,False,PASS
FT50,57,50,50,50,0,50,50,0,False,PASS
